water_content_percent,wavelength_nm,median_reflectance,std_reflectance
0,189.855,53.3281476,108.638823934131
0,190.322,92.9095542,236.90989081442
0,190.789,230.5106136,2985.12794142514
0,191.256,88.54566196,80.2798466876839
0,191.723,99.2623198,50.60183255051
0,192.19,76.7215748,232.053542362482
0,192.657,82.8989231,54.7773099459813
0,193.124,160.0540564,318.460356304494
0,193.591,197.037788,72.7269746753358
0,194.058,113.2185754,57.1868113927843
0,194.525,111.1874346,129.96943253083
0,194.992,-50.8888638,110.472327025248
0,195.458,-55.5277307,115.99290551809
0,195.925,-0.613990999999999,159.617341592984
0,196.392,6.159915,100.943364309323
0,196.858,-103.7161222,280.773710721984
0,197.325,411.9057772,648.9270792638
0,197.791,107.6368836,69.2707118858351
0,198.258,69.5013008,91.1269383580993
0,198.724,77.5953722,52.1316586678751
0,199.19,198.612804,239.204095639529
0,199.657,31.4114766,9.15794576031622
0,200.123,27.7725004,4.40407817692291
0,200.589,27.4790886,3.41880160180205
0,201.055,27.3328246,3.26033520432177
0,201.521,27.1749448,2.9792734621568
0,201.987,27.2808836,2.88087960307782
0,202.453,27.510848,2.75991079608722
0,202.919,27.4829472,2.62007620943448
0,203.385,27.3232576,2.44136324257523
0,203.851,27.2870336,2.6732054953494
0,204.317,27.1111414,2.78119497597609
0,204.782,26.9273556,2.72575776496934
0,205.248,26.8450198,2.85881973763617
0,205.714,27.053136,2.88319482820187
0,206.179,27.036777,2.61270939054737
0,206.645,26.9697124,2.30009161834598
0,207.11,27.0014258,2.31673690405988
0,207.576,26.8397562,1.96069383631921
0,208.041,26.8691418,2.16693204946518
0,208.506,26.9548352,1.95915098674629
0,208.972,27.2701864,2.48161675273049
0,209.437,27.2271278,2.67009488288056
0,209.902,26.9796226,2.86470659474227
0,210.367,26.8690988,2.61150576354129
0,210.832,26.8299492,2.86684748397346
0,211.297,26.7455794,2.56143742494363
0,211.762,26.7843956,2.25249777199629
0,212.227,26.9544338,2.27875340506755
0,212.692,26.979806,2.61639431604894
0,213.157,26.9774418,2.65841783299566
0,213.622,26.9491898,3.01072968576672
0,214.087,26.9585906,3.10321206423194
0,214.551,27.171403,3.12577472954261
0,215.016,27.5951312,2.45507305382503
0,215.481,27.6844828,2.00459888418161
0,215.945,27.2487034,1.87415716803566
0,216.41,27.0100036,1.74426368108054
0,216.874,27.2324568,1.78008501897099
0,217.339,26.749479,2.56155416774348
0,217.803,26.895842,2.99156808249807
0,218.267,27.1408488,2.8959857542855
0,218.732,27.4481088,2.74028417934078
0,219.196,27.1366108,2.54510331712341
0,219.66,26.943824,2.22095006938877
0,220.124,26.9094296,2.29742184911249
0,220.588,26.9850046,2.35964048693691
0,221.052,27.0150396,2.62450726655657
0,221.516,27.2869296,2.78810846821802
0,221.98,27.7849046,2.93443496083322
0,222.444,27.6743432,2.82205346909611
0,222.908,27.5841366,2.71644731647567
0,223.372,27.4349962,2.57043167509999
0,223.836,27.1757746,2.62740993365067
0,224.299,27.2502016,2.27498291457431
0,224.763,27.1773474,2.31488510951352
0,225.227,27.4280498,2.51841185413327
0,225.69,27.4662854,2.98318091710815
0,226.154,27.5315886,2.73575720213645
0,226.617,27.3512652,2.79081330592782
0,227.08,27.5147342,2.85693853092148
0,227.544,27.243658,2.75094258134182
0,228.007,27.3218768,2.43611183154694
0,228.47,27.4510132,2.61128871144279
0,228.934,27.3245142,2.73738183505154
0,229.397,27.1305414,2.80942715940674
0,229.86,27.2858916,2.70947734650464
0,230.323,27.4338164,2.77761546804669
0,230.786,27.1013394,2.54162274047748
0,231.249,27.0990784,2.49771238790623
0,231.712,27.2558596,2.06561238814968
0,232.175,27.2860584,2.01435019928478
0,232.637,27.1336904,1.90478857364901
0,233.1,27.3247004,2.04557474037989
0,233.563,27.2316082,2.14996476430507
0,234.026,27.146324,2.26156158107207
0,234.488,27.0384874,2.10187454609476
0,234.951,27.061568,2.24937725812323
0,235.413,27.007499,2.00994681144522
0,235.876,27.225705,2.01892632581826
0,236.338,27.2526986,2.01128280559842
0,236.8,27.3105768,2.32521170668096
0,237.263,27.3759968,2.33938289185429
0,237.725,27.5311738,2.41087827683833
0,238.187,27.5648786,2.41186946587626
0,238.649,27.7015542,2.72959727056937
0,239.112,27.4333706,2.3740866397436
0,239.574,26.8624298,1.99205917125726
0,240.036,26.4660086,2.05835047289392
0,240.498,26.140939,1.75883586807638
0,240.96,25.9391452,1.57106396846524
0,241.421,26.1050222,1.33300500304333
0,241.883,26.5345912,1.60786502097638
0,242.345,26.8338178,1.80974688820502
0,242.807,27.090308,2.16195697387714
0,243.268,27.3422746,2.07825264141111
0,243.73,27.3812712,2.4548533358543
0,244.192,27.529808,2.63822569509206
0,244.653,27.3643316,2.70047361208249
0,245.115,27.3995192,2.8236914085436
0,245.576,27.2581244,2.52638632256507
0,246.037,27.3095702,2.45344648518189
0,246.499,27.3111638,2.50571991948313
0,246.96,27.5557412,2.19726963305666
0,247.421,27.2290156,2.00833820332061
0,247.883,27.0199074,1.97049546125989
0,248.344,27.0314234,2.23397190291665
0,248.805,26.961625,2.00451071038815
0,249.266,26.8809334,1.82592698813097
0,249.727,26.9412124,1.7109455571844
0,250.188,26.6576864,1.91574570522996
0,250.649,26.6690748,1.68233272146831
0,251.109,26.5284168,1.75156788983258
0,251.57,26.5819272,2.08340045802255
0,252.031,26.8338652,2.55332716898712
0,252.492,27.3095236,2.66893686436331
0,252.952,27.1509268,2.45006499828943
0,253.413,27.0913774,2.50930427533606
0,253.873,26.9174098,2.35485689897772
0,254.334,27.072167,1.76896341337248
0,254.794,26.8990976,1.62574527396473
0,255.255,27.0291516,2.0160764773823
0,255.715,27.3735876,2.01977612592768
0,256.175,27.3719714,2.07771310840901
0,256.636,27.0156112,2.4996832761818
0,257.096,27.26329,2.54492974846152
0,257.556,27.2104278,2.42413402168233
0,258.016,26.9118686,2.64333314467357
0,258.476,26.9414938,2.54108945471067
0,258.936,26.9389902,2.31180900615413
0,259.396,26.8349946,2.26068236869186
0,259.856,26.9237356,2.04562662085871
0,260.316,27.0677024,2.05100305843795
0,260.775,27.0246714,2.40545225170807
0,261.235,27.1666658,2.43437331061564
0,261.695,27.0085334,2.09721518071624
0,262.155,26.9535318,2.55239462301466
0,262.614,26.6198058,2.41353114922699
0,263.074,26.4674848,2.32727628402245
0,263.533,26.3872876,2.25264119721296
0,263.993,26.8378314,2.48077501676251
0,264.452,26.873928,2.32756797505061
0,264.911,27.306214,2.06234583625337
0,265.371,27.5356648,1.96324288450374
0,265.83,27.6372408,2.13039421694778
0,266.289,27.2715422,2.56942934269891
0,266.748,27.1321394,2.04010594632677
0,267.207,27.0478156,2.08712003510911
0,267.666,27.1536092,2.32414636990508
0,268.125,27.0408686,2.46550805367191
0,268.584,27.0369194,2.27797524334683
0,269.043,26.891766,2.56638000765444
0,269.502,26.6502846,2.49857323268914
0,269.961,26.2404474,2.5614882413503
0,270.42,26.5676658,2.16541072792036
0,270.878,26.6950974,2.2493103617306
0,271.337,26.9175704,2.38919696661339
0,271.795,26.9678742,2.47307923139663
0,272.254,26.9601548,2.28091383455995
0,272.712,26.7451968,2.51211008357981
0,273.171,26.4278154,2.15540741162859
0,273.629,26.20902,2.2109399043007
0,274.088,26.3195916,2.36342984293426
0,274.546,26.5421352,2.2472560032892
0,275.004,26.311988,2.39763100035473
0,275.462,26.6138702,3.02857942680818
0,275.921,26.987144,3.25728729077182
0,276.379,26.9139768,3.03638636762033
0,276.837,26.9628108,2.92103598428218
0,277.295,27.2216368,2.78005892577819
0,277.753,27.3564234,2.38917798960384
0,278.21,26.8383672,2.19692877968817
0,278.668,26.74181,2.20574031811444
0,279.126,26.946722,2.4812249216751
0,279.584,27.0169168,2.55131161429194
0,280.041,27.0007278,2.60408770688434
0,280.499,27.1496656,2.52724456113741
0,280.957,27.2501438,2.48505922877652
0,281.414,27.3269888,2.57707938077114
0,281.872,27.0664334,2.43594728504371
0,282.329,26.7535336,2.38874334352375
0,282.787,27.023837,2.46256978403074
0,283.244,27.1110922,2.67927855020962
0,283.701,26.785638,2.6284348366216
0,284.158,26.903543,2.86434123145738
0,284.616,27.0617948,2.93350606858929
0,285.073,26.9353524,3.22672774717624
