wavelength_nm,median_reflectance_0pct,median_reflectance_5pct,median_reflectance_10pct,median_reflectance_15pct,median_reflectance_20pct,median_reflectance_25pct,median_reflectance_30pct,median_reflectance_35pct,median_reflectance_40pct,std_reflectance_0pct,std_reflectance_5pct,std_reflectance_10pct,std_reflectance_15pct,std_reflectance_20pct,std_reflectance_25pct,std_reflectance_30pct,std_reflectance_35pct,std_reflectance_40pct
1755.179,38.9737464,20.5230302,20.2418972,17.6685254,20.0816494,20.3138776,19.525981,17.2799684,17.749103,1.4749767297433,1.84461560795559,1.78360368361308,1.66467973695262,1.22820901605526,0.329039798269207,1.31025621586024,0.509442400080951,0.697581543172983
1758.337,38.911846,20.4826734,20.1945438,17.642344,20.042403,20.321594,19.4609446,17.1689974,17.7060138,1.44842773920828,1.78379136222548,1.7772820654492,1.64460475935332,1.18730331946087,0.327823370822764,1.33331682132441,0.484549561316734,0.671594693588149
1761.495,38.9245816,20.4713088,20.0973566,17.5723606,19.9671974,20.206432,19.4333414,17.060593,17.5814816,1.539365905886,1.79458478809193,1.74013902556843,1.65818036476767,1.15737743944793,0.260252457153433,1.33233436696448,0.476581433588426,0.694916653471077
1764.653,38.8718926,20.4075696,20.0583378,17.545787,19.9356148,20.1720042,19.3095036,16.9336416,17.497607,1.41255355730614,1.74574922351621,1.72453951556123,1.6507040630886,1.14928689995064,0.275334130611082,1.35020104113789,0.47457317963349,0.689046299702132
1767.811,38.8222094,20.3950528,19.9361502,17.5032786,19.8769416,20.0545174,19.2396932,16.8589612,17.3378914,1.48332010878537,1.75463601436439,1.72692048198698,1.65186273430798,1.15738164622817,0.261677868705475,1.36108531508652,0.475293486328773,0.726373492520095
1770.968,38.8444518,20.3352074,19.8829082,17.4511946,19.8075446,20.025522,19.1582862,16.7664132,17.2583446,1.43292258962854,1.73206551090501,1.74922836196003,1.68181722760038,1.13687765991572,0.227840654787508,1.37507337234308,0.474078692899987,0.735159283713835
1774.126,38.8209556,20.270722,19.8735942,17.3325802,19.7724074,19.92177,19.0457566,16.681779,17.068015,1.45558891764435,1.72517383300385,1.73392695794689,1.68625000949223,1.17432355547568,0.262643961903563,1.37663881412876,0.495381139096757,0.778264230539475
1777.282,38.804613,20.2690824,19.8723988,17.3435346,19.6900968,19.9040632,18.9967556,16.665113,17.027549,1.38314366907028,1.73805718325475,1.75014660911575,1.66482510101015,1.21772024868315,0.277835861638774,1.38162888280762,0.52021784233492,0.793547513252231
1780.439,38.7792324,20.1938858,19.8043388,17.3067316,19.6599702,19.8602896,18.9410692,16.5944628,16.9505006,1.50261420245326,1.73947762566046,1.76273141065738,1.64562039117673,1.17354309652051,0.257556744319073,1.41809479146161,0.51531216421443,0.775430304567625
1783.595,38.7794496,20.1682214,19.8490932,17.276871,19.6386164,19.8513882,18.9287664,16.593308,16.9414102,1.41479701839983,1.71268308439321,1.75823957206171,1.68072097613054,1.15426950313999,0.271569269026817,1.39149373473855,0.494123663657591,0.756361113172643
1786.751,38.7262754,20.1283462,19.8328062,17.265172,19.640943,19.8066692,18.9148992,16.5307306,16.8607164,1.47245751827054,1.69222187931068,1.71105343494006,1.58041934529782,1.15133168193236,0.29401584620384,1.37471635048986,0.49786376864544,0.72216806628474
1789.907,38.725363,20.12288,19.7846254,17.3218626,19.5895254,19.7837044,18.8747944,16.5190064,16.9036888,1.41967070278315,1.70173738382689,1.72977562720378,1.63908688819533,1.15314881840959,0.239289945760035,1.37789498495997,0.507515940688211,0.730497297538985
1793.062,38.7418492,20.1160524,19.747996,17.2985576,19.613591,19.7925612,18.8467372,16.495707,16.8196964,1.47210581597634,1.69092541402991,1.73062612582834,1.62287796254156,1.13526265810058,0.252480098419974,1.39989038881155,0.505560510248576,0.715782002541164
1796.218,38.7549272,20.1665798,19.8046892,17.2753048,19.6458254,19.7902864,18.8524058,16.4942274,16.8670942,1.3474194110256,1.71397841437078,1.68302059587605,1.61911912324911,1.12834353625101,0.267991345527127,1.40453532955799,0.526181465410403,0.754994992654495
1799.372,38.81582,20.1774468,19.8136224,17.3199516,19.640411,19.8112994,18.843702,16.4596916,16.8700182,1.4231762171616,1.73650983116197,1.73719972305519,1.61084823383938,1.13738685284489,0.247759048410022,1.41171565231969,0.544897423423014,0.743460885767745
1802.527,38.8487798,20.2131186,19.8197856,17.3246528,19.6585864,19.815627,18.8501094,16.500516,16.9080886,1.35731129759144,1.71717182919131,1.74686691655931,1.69871964425957,1.15537900387251,0.290859668340594,1.43974411249758,0.542797354948972,0.761363238783066
1805.681,38.9000908,20.2247966,19.821053,17.3149994,19.6788874,19.8281356,18.8902408,16.5209504,16.8515484,1.37904612592957,1.71053909029973,1.75006148307172,1.62274042741304,1.16686568544929,0.285601065108378,1.41942873357508,0.536652648118539,0.783177105265367
1808.835,38.9530736,20.2569072,19.8747892,17.3633792,19.6894316,19.8634954,18.9203112,16.5055192,16.919974,1.32011674309503,1.69592080528018,1.75521772667044,1.65299798149392,1.18952213640261,0.282080171630407,1.39621747538575,0.531920477578895,0.802083887507285
1811.989,39.055061,20.2316352,19.8761608,17.3970154,19.68127,19.879197,18.9991146,16.5669004,16.8549318,1.45123775829366,1.70276840491529,1.80502422137149,1.66618780647256,1.20047384368707,0.258466859300762,1.39169734017574,0.524936216013184,0.800410945544199
1815.143,39.0918934,20.3141478,19.901997,17.3538306,19.688755,19.9073074,19.0000484,16.5821482,16.910677,1.37645656641168,1.68769959889009,1.80447976577195,1.64324159257689,1.20968633727773,0.247156136298171,1.37265751098176,0.525310150235611,0.810010085452521
1818.296,39.13839,20.291135,19.8789774,17.3462014,19.6480764,19.9133032,18.98933,16.561778,16.8679604,1.4373864845765,1.71348321109371,1.80001814852002,1.64234128598237,1.21604377873193,0.217643544331,1.35966322406469,0.543573154799609,0.809344426594413
